Foscam Issues Patches For Vulnerabilities in IP Cameras | PatchVulnerability
Researchers found three vulnerabilities in Foscam connected security cameras that could enable a bad actor to gain root access knowing only the camera’s IP address. | O
Foscam  is urging customers to update their security cameras after researchers found three vulnerabilities in that could enable a bad actor to gain root access knowing only the camera’s IP address. | DiscoverVulnerability
The vulnerability trifecta includes an arbitrary file-deletion bug, a shell command-injection flaw and a stack-based buffer overflow vulnerability according to the researchers at VDOO who found the flaws. | DiscoverVulnerability
The proof-of-concept attack revolved around a process in the cameras called webService, which receives requests from servers and can be used to verify the user’s credentials, if necessary, and run the handler for the desired API command. | O
To launch an attack, an attacker would have to obtain the camera’s IP address or DNS name. | AttackDatabreach
 Generally if the camera is configured so that it has direct interface to the internet, its address might be exposed to certain internet scanners. | AttackDatabreach
The PoC attacker then crashed the webService process by exploiting the stack-based buffer overflow vulnerability (CVE-2018-6832). | O
After it crashes, the webService process automatically restarts via the watchdog daemon (which restarts important processes after they’re terminated), and during the process reload, an attacker could leverage a second flaw, the arbitrary file-deletion vulnerability (CVE-2018-6830), to delete certain critical files. | O
This will result in authentication bypass when the webService process reloads; so that the bad actor is able to gain administrative credentials. | O
 From there, an attacker could use the third vuln (CVE-2018-6831) to execute root commands. | O
 This bug is a shell command-injection vulnerability that requires administrator credentials. | O
“Since the adversary gained administrator credentials in the previous stage, he can now use this vulnerability to execute commands as the root user for privilege escalation,” researchers said. | O
The Internet of Things continues to post a significant problem as many connected devices lack proper security controls. | O
 The 2016 Mirai botnet attack,  which was orchestrated as a distributed denial of service attack through 300,000 vulnerable IoT  devices like webcams, routers and video recorders, showed just how big of an impact the lack of IoT security has. | O
The patches also come after reports of a hacked baby camera emerged last week, when a woman from South Carolina said a stranger hacked into her baby monitor to spy on her and her family. | PatchVulnerability
 These IoT security incidents show not only that connected products are highly vulnerable to security hacks, but also that such hacks could mean a complete invasion of privacy at the most personal level. | O
Foscam, for its part, urged customers to upgrade their cameras as soon as possible, saying that “the latest firmware for Foscam cameras utilizes protection against various types of online hacking and unauthorized access.” | PatchVulnerability
It added, “Foscam is fully committed to maintaining the safety and integrity of our user experience and will take all action reasonably necessary to ensure the privacy and security of our cameras.” | O
