Adobe Patches Zero-Day Vulnerability in Flash Player | PatchVulnerability
Adobe on Wednesday released several unscheduled fixes for Flash Player, including a critical vulnerability that it said is being exploited in the wild. | PatchVulnerability
The critical vulnerability, CVE-2018-15982, is a use-after-free flaw enabling arbitrary code-execution in Flash. | DiscoverVulnerability
“Adobe has released security updates for Adobe Flash Player for Windows, macOS, Linux and Chrome OS,” Adobe said in its release. | PatchVulnerability
 “These updates address one critical vulnerability in Adobe Flash Player and one important vulnerability in Adobe Flash Player installer. | PatchVulnerability
 Successful exploitation could lead to arbitrary code-execution and privilege-escalation in the context of the current user respectively.” | PatchVulnerability
The flaw was discovered by Chenming Xu and Ed Miles of Gigamon ATR. | DiscoverVulnerability
 Researchers also outlined the further technical details about the exploit of the vulnerability. | DiscoverVulnerability
Impacted is Adobe Flash Player Desktop Runtime, Adobe Flash Player for Google Chrome; Adobe Flash Player for Microsoft Edge and Internet Explorer 11; all for versions 31.0.0.153 and earlier. | DiscoverVulnerability
 Adobe Flash Player Installer versions 31.0.0.108 and earlier is also affected. | DiscoverVulnerability
Users of these impacted products can update to version 32.0.0.101, according to Adobe. | PatchVulnerability
 Users of Adobe Flash Player Installer can update to version 31.0.0.122. | PatchVulnerability
Adobe also patched an important-rated insecure library loading (via DLL hijacking) vulnerability, CVE-2018-15983, that could lead to privilege escalation via Adobe Flash. | PatchVulnerability
This is only the latest exploit to hit Adobe Flash – earlier in June, a zero-day Flash vulnerability was is being exploited in the wild in targeted attacks against Windows users in the Middle East, according to researchers. | DiscoverVulnerability
 Adobe dealt with another zero-day Flash vulnerability back in February, which was exploited by North Korean hackers. | DiscoverVulnerability
