Beware of Online Tax Scams & Frauds and stay safe! | O
One needs to be always aware of Tax Scams, including tax refund scams, which are carried out by scamsters who pretend to be from the IRS of USA, HMRC of UK, CRA of Canada, Income Tax Department of India and such. | AttackPhishing
Scamsters contact you via fake emails, phone calls, recorded message, SMS, etc, and either scare you with the possibility of some legal action or entice you with a tax refund! | AttackPhishing
Every tax season, Tax Scams start doing the rounds. | O
Emails, Phone calls, or recorded messages by cybercriminals impersonating authentic tax agents have become an order of the day and continue to remain a major threat to taxpayers. | AttackPhishing
The scam artists use sinister designs that threaten police arrest, deportation, and even license revocation. | AttackPhishing
With the increases in its popularity, fraudsters are also busy finding more ways to increase efficiency. | O
Earlier, the major targets were elderly people and immigrant population. | O
Slowly, the focus has shifted to methods that rely on auto-dialers, robocalling, and voice mail messages to hit as many taxpayers as possible. | O
The story begins with an automated call. | O
It plays a recorded message warning you that it’s “the final notice” from the tax agency such as the Internal Revenue Service, Indian Income Tax Department, HM Revenue and Customs, or the Tax department of your country. | O
Or it could begin with an email. | O
In any case, the recorded voice or email purports to be from tax inspector and goes on to specify about the course of action, the agency is likely to follow against you like, planning a lawsuit against you, and if you don’t return this call, you could land up in jail, soon. | AttackPhishing
Attacks, such as these use fear as bait or the lure of a tax refund on the other hand. | AttackPhishing
They rely on social engineering tactics. | O
One such message tells recipients that there’s a pending law enforcement action against them as they have evaded tax. | O
It is mainly used to target U.S. taxpayers. | O
The scam pretends to contain information about a subpoena. | O
It could contain a web link which it wants you to click. | O
The link could take you to a fraudulent website. | O
Or the email could include an attachment. | O
The file is a “document file” that Microsoft Word opens in Protected View. | O
It contains an instruction to Enable Editing. | O
If the Enable Editing button is clicked, malicious Macros in the ‘document’ downloads a malware. | O
So one needs to always exercise utmost caution in either of the cases. | O
