Microsoft issues emergency patch to fix serious Internet Explorer zero-day vulnerability | PatchVulnerability
Microsoft has issued an emergency, out-of-band patch for an Internet Explorer zero-day that was being actively exploited in targeted attacks. | DiscoverVulnerability, PatchVulnerability
The company says that it learned about the vulnerability through a report from Google. | O
CVE-2018-8653 affects a range of versions of Internet Explorer from 9 to 11, across Windows 7 to 10 and Windows Server. | DiscoverVulnerability
The vulnerability amounts to a remote code execution exploit, and it was first spotted by Google's Threat Analysis Group. | DiscoverVulnerability
Microsoft explains that a problem with Internet Explorer's scripting engine could be exploited by an attacker to execute arbitrary code on a victim's computer. | DiscoverVulnerability
In a short security advisory, the company says: | O
Today, we released a security update for Internet Explorer after receiving a report from Google about a new vulnerability being used in targeted attacks. | DiscoverVulnerability, PatchVulnerability
Customers who have Windows Update enabled and have applied the latest security updates, are protected automatically. | PatchVulnerability
We encourage customers to turn on automatic updates. | O
Microsoft would like to thank Google for their assistance. | O
In a more detailed security vulnerability posting, Microsoft explains the impact of the problem: | O
A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer. | DiscoverVulnerability
The vulnerability could corrupt memory in such a way that an attacker could execute arbitrary code in the context of the current user. | O
An attacker who successfully exploited the vulnerability could gain the same user rights as the current user. | DiscoverVulnerability
If the current user is logged on with administrative user rights, an attacker who successfully exploited the vulnerability could take control of an affected system. | DiscoverVulnerability
An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. | O
In a web-based attack scenario, an attacker could host a specially crafted website that is designed to exploit the vulnerability through Internet Explorer and then convince a user to view the website, for example, by sending an email. | AttackPhishing
The security update addresses the vulnerability by modifying how the scripting engine handles objects in memory. | PatchVulnerability
