Hackers Demand $6.3 Million in Bitcoin From Malaysian Media Giant | AttackRansom
Ransomware creators have attacked Malaysian media giant Media Prima Bhd and are demanding bitcoins before they can allow access to the company’s compromised computer systems. | AttackRansom
According to The Edge Markets, which initially broke the news, the hackers struck on November 8 consequently denying the company’s employees access to the email system. | O
The hackers are now demanding 1,000 bitcoins, translating to approximately US$6.3 million at current market prices, to reauthorize access. | AttackRansom
Media Prima did not, however, confirm the attack though sources indicated that the publicly listed company would not be paying the ransom. | AttackRansom
Sources also told The Edge Markets that with access to the office email denied, the media giant had migrated to G Suite, a Google product hosted offsite. | O
It was also not immediately clear whether the company which owns four TV stations, four radio stations and three national newspapers among other media assets had lodged a complaint with the police. | O
Lucrative Business | O
While extortionists have been targeting individuals in the recent past especially by threatening to reveal the porn-viewing habits of their victims, it has generally been more lucrative to target businesses. | O
According to a report by cybersecurity firm Sophos, the SamSam ransomware, which has mostly targeted business enterprises and public bodies, has, for instance, generated its creators bitcoin worth more than US$6 million since it emerged three years ago. | O
Some of the high-profile victims of ransomware attacks in the recent past have included the Port of San Diego. | AttackRansom
While the Californian port did not reveal the amount that the hackers demanded, it was serious enough that it got the U.S. Federal Bureau of Investigations, the U.S. Department of Homeland Security and the U.S. Coast Guard involved. | AttackRansom
“As previously stated, the investigation has detected that ransomware was used in this attack. | O
The Port can also now confirm that the ransom note requested payment in Bitcoin, although the amount that was requested is not being disclosed,” a statement from the Port of San Diego read, as CCN reported at the time. | AttackRansom
Can’t Pay, Won’t Pay | O
Another high-profile target of ransomware in the recent past was the Professional Golfers Association (PGA) of America. | O
In this case, the hackers encrypted critical files denying access to them just as the golfing body was holding a PGA Championship event as well as preparing for the Ryder Cup. | O
