Hackers hit Onslow County utility with ransomware attack | AttackRansom
The Onslow Water and Sewer Authority's internal computer system, including servers and personal computers, was hit by a ransomware attack Saturday. | AttackRansom
The utility said customer information was not compromised in the attack, but many of databases will have to be recreated in their entirety. | AttackDatabreach
OWNASA said it is coordinating with the FBI, the Department of Homeland Security, the state of North Carolina,  and several technology security companies in response to the attack. | O 
The safety of the public’s water supply and the area’s environment are not in danger, the utility said. | O
ONWASA began experiencing persistent virus attacks from a polymorphic malware known as EMOTET on October 4. | O
The virus was thought to be under control, but when it persisted ONWASA brought in outside security specialists. | O
The specialist continued to work the problem with ONWASA Information Technology (IT) staff. | O
At what ONWASA officials said may have been a timed event, the malware launched a sophisticated virus known as RYUK at 3 a.m. on Saturday. | O
An ONWASA IT staffer saw the attack and immediately disconnected ONWASA from the internet. | O
However, the crypto-virus spread quickly along the network, encrypting databases and files. | O
The attack is similar in nature to those experienced by Atlanta, Georgia and Mecklenburg County. | O
lONWASA said it had mulitple layers of computer protection in place, including firewalls and malware/anti-virus software. | O
The defenses of the computer systems at the main office were penetrated. | O
ONWASA has received one email from the cybercriminals, who it said may be based in a foreign country. | O
The email is consistent with ransomware attacks of other governments and corporations. | AttackRansom
OWNASA officials said ransom monies “would be used to fund criminal, and perhaps terrorist activities in other countries. | O
Furthermore, there is no expectation that payment of a ransom would forestall repeat attacks. ONWASA will not negotiate with criminals nor bow to their demands. | AttackRansom
The FBI agrees that ransoms should not be paid. | AttackRansom
ONWASA will undertake the painstaking process of rebuilding its databases and computer systems from the ground up.” | O
The lack of computing ability will affect the timeliness of service from ONWASA for several weeks to come. | O 
Initially, the utility will operate manually at all plant and office locations. | O
Water and wastewater service to homes and businesses will not be interrupted, the utility said. | O
Customers may continue to make credit card payments by phone, at ONWASA's kiosk locations (by check, cash, or credit card), and in person at the main office at 228 Georgetown Road, Jacksonville. | O
Satellite Offices in Holly Ridge, Swansboro, and Richlands have the capability of processing credit card payments by phone and very limited other services. | O
Service orders, account creation, connections, disconnections, development review, backflow program, engineering, and human resources will utilize manual processes until the computer systems are restored. | O
While phone service remains, email service has been interrupted for most of the utility. | O
ONWASA said a team of local, state, and federal agencies are cooperating to restore the utility and bring the criminals to justice. | O 
