Security flaws found in 'panic button' for Colombian activists, journalists | TheHill
A "panic button" distributed by the Colombian government to high-risk activists and journalists has a number of security flaws, at least one of which is by design, a security firm reported. | DiscoverVulnerability
Rapid7 investigated the Eview EV-07S GPS tracker at the behest of The Associated Press. | O
The site lists main applications of the EV-07S as elderly care, disabled and patient care, child protection, employee management, and pet and animal tracking. | O
"I wouldn't be worried about giving this to my grandma. | O
But I would be more concerned giving it to anyone who might be at risk," said Deral Heiland, internet of things research lead at Rapid7. | O
The group found another six vulnerabilities not listed in the manual. | DiscoverVulnerability
Those include a web portal for the device that allows anyone (even people without passwords) to access GPS coordinates of any device. | DiscoverVulnerability, Databreach
Anyone who logs into an account on the site has access to other information from all accounts, including phone numbers and device configurations. | DiscoverVulnerability, Databreach
The device also transmits data in "clear," unencrypted text, allowing anyone to tamper or alter information in transit. | DiscoverVulnerability, Databreach
Rapid7 spoke with the manufacturer in December to relay its findings. | O
Eview has not informed Rapid7 of any intention to repair the security flaws. | DiscoverVulnerability
"We thought we had a responsibility to alert users that these vulnerabilities exist," said Heiland. | DiscoverVulnerability, Databreach
