Critical Xen hypervisor flaw endangers virtualized environments | CSO Online
This is a serious violation of the security barrier enforced by the hypervisor and poses a particular threat to multi-tenant data centers where the customers' virtualized servers share the same underlying hardware. | O
The open-source Xen hypervisor is used by cloud computing providers and virtual private server hosting companies, as well as by security-oriented operating systems like Qubes OS. | O
The new vulnerability affects Xen 4.8.x, 4.7.x, 4.6.x, 4.5.x, and 4.4.x and has existed in the Xen code base for over four years. | DiscoverVulnerability
It was unintentionally introduced in December 2012 as part of a fix for a different issue. | DiscoverVulnerability
The Xen project released a patch Tuesday that can be applied manually to vulnerable deployments. | PatchVulnerability
The good news is that the vulnerability can only be exploited from 64-bit paravirtualized guest operating systems. | DiscoverVulnerability
Xen supports two types of virtual machines: Hardware Virtual Machines (HVMs), which use hardware-assisted virtualization, and paravirtualized (PV) VMs that use software-based virtualization. | O
Based on whether they use PV VMs, Xen users might be affected or not. | O
For example, Amazon Web Services said in an advisory that its customers' data and instances were not affected by this vulnerability and no customer action is required. | DiscoverVulnerability
Meanwhile, virtual private server provider Linode had to reboot some of its legacy Xen servers in order to apply the fix. | PatchVulnerability
Qubes OS, an operating system that uses Xen to isolate applications inside virtual machines, also put out an advisory warning that an attacker who exploits another vulnerability, for example inside a browser, can exploit this Xen issue to compromise the whole Qubes system. | DiscoverVulnerability
The Qubes developers have released a patched Xen package for Qubes 3.1 & 3.2 and reiterated their intention to stop using paravirtualization altogether in the upcoming Qubes 4.0. | PatchVulnerability
Vulnerabilities that allow breaking the isolation layer of virtual machines can be very valuable for attackers. | PatchVulnerability
