Global cyber attack: Here's how experts are analysing it - Moneycontrol.com
The development weighing on investors' sentiment is the fallout from a massive global cyber attack. | O
The global cyber attack that crippled more than hundreds of thousands of computers over 150 countries is poised to swell today. | O
The ransomware employed by hackers, who have demanded Bitcoin payments from the victims, renders files stored on afflicted computers inaccessible completely. | AttackRansom
A number of large corporations and many hospitals in Britain have been infected with this malware. | O
There have been reports of infections in 150 countries, including the UK, US, China, Russia, Spain, Italy and Taiwan. | O
The US President Donald Trump directed his homeland security adviser to hold meetings on the matter over the weekend. | O
Back home the Indian IT ministry has contacted the Reserve Bank of India and Unique Identification Authority of India (UIDAI) and sought advice on online protection from both these bodies. | O
In an interview to CNBC-TV18, S Ramadorai, Former Chairman of Tata Consultancy Services (TCS) shared his readings and outlook on global cyber attack. | O
He said that India is one of the most vulnerable countries to cyber attack. | O
India needs a mass movement for cyber awareness, implementation and protection, he added. | O

