The industrial company on Tuesday released mitigations for eight vulnerabilities overall. | PatchVulnerability
Siemens AG on Tuesday issued a slew of fixes addressing eight vulnerabilities spanning its industrial product lines. | PatchVulnerability 
The most serious of the patched flaws include a cross-site scripting vulnerability in Siemens’ SCALANCE firewall product. | O 
The flaw could allow an attacker to gain unauthorized access to industrial networks and ultimately put operations and production at risk. | Databreach
The SCALANCE S firewall is used to protect secure industrial networks from untrusted network traffic, and allows filtering incoming and outgoing network connections in different ways. | O  
Siemens S602, S612, S623, S627-2M SCALANCE devices with software versions prior to V4.0.1.1 are impacted. | DiscoverVulnerability
Researchers with Applied Risk, who discovered the flaw, said that vulnerability exists in the web server of the firewall software. | DiscoverVulnerability 
An attacker can carry out the attack by crafting a malicious link and tricking an administrator – who is logged into the web server – to click that link. | Phishing 
Once an admin does so, the attacker can execute commands on the web server, on the administrator’s behalf. | 
“The integrated web server allows a cross-site scripting attack if an administrator is misled into accessing a malicious link,” Applied Risk researcher Nelson Berg said in an analysis of the flaw. | DiscoverVulnerability 
“Successful exploitation may lead to the ability to bypass critical security measures provided by the firewall. | ”
Exploitation of this vulnerability could ultimately enable threat actors to bypass critical security functions provided by the firewall, potentially providing access to industrial networks and putting operations and production at risk. | O 
The vulnerability, CVE-2018-16555, has a CVSS score which Applied Risk researcher calculates to be 8.2 (or high severity). | DiscoverVulnerability
That said, researchers said a successful exploit is not completely seamless and takes some time and effort to carry out – for an attacker to exploit the flaw, user interaction is required and the administrator must be logged into the web interface. | DiscoverVulnerability
Researchers said that no exploit of the vulnerability has been discovered thus far. | DiscoverVulnerability
Siemens addressed the reported vulnerability by releasing a software update (V4.0.1.1) and also advised customers to “only access links from trusted sources in the browser you use to access the SCALANCE S administration website. ” | PatchVulnerability
The industrial company also released an array of fixes for other vulnerabilities on Tuesday. |  Overall, eight advisories were released by the US CERT. | PatchVulnerability
Another serious vulnerability (CVE-2018-16556) addressed was an improper input validation flaw in certain Siemens S7-400 CPUs. | PatchVulnerability 
Successful exploitation of these vulnerabilities could crash the device being accessed which may require a manual reboot or firmware re-image to bring the system back to normal operation, according to the advisory. | O 
“Specially crafted packets sent to Port 102/TCP via Ethernet interface, via PROFIBUS, or via multi-point interfaces (MPI) could cause the affected devices to go into defect mode. | O  
Manual reboot is required to resume normal operation,” according to US Cert. | O 
An improper access control vulnerability that is exploitable remotely in Siemens IEC 61850 system configurator, DIGSI 5, DIGSI 4, SICAM PAS/PQS, SICAM PQ Analyzer, and SICAM SCC, was also mitigated. | PatchVulnerability 
The vulnerability, CVE-2018-4858, has a CVSS of 4. | 2 and exists in a service of the affected products listening on all of the host’s network interfaces on either Port 4884/TCP, Port 5885/TCP, or Port 5886/TCP. | DiscoverVulnerability 
The service could allow an attacker to either exfiltrate limited data from the system or execute code with Microsoft Windows user permissions. | Databreach
Also mitigated were an improper authentication vulnerability (CVE-2018-13804) in SIMATIC IT Production Suite and a code injection vulnerability(CVE-2018-13814) in SIMATIC Panels and SIMATIC WinCC that  could allow an attacker with network access to the web server to perform a HTTP header injection attack. | PatchVulnerability
