No, you can’t get  Verizon Unlimited free for 12 months – Naked Security | O
   The new unlimited data plan from Verizon isn’t bad. | O
Following a couple of Superbowl ads from competitors Sprint and T-Mobile that made fun of it for the taxes, fees, rates, and lack of unlimited data it inflicts on its customers, Verizon gave up and joined the unlimited data party with an $80 plan (on down to $45 for each of four lines: here are the details). | O
Since last week, when the new unlimited plan was announced, various fake Verizon Unlimited Twitter accounts have appeared, and phishers have likewise been sending out bogus offers to upgrade. | AttackPhishing
All you have to do is retweet the offer, or click and go fill in your details. | O
Product Reviews captured one fake Twitter account that was offering Verizon Unlimited “FREE for 12 months” in exchange for retweets. | O
The @VZUnlimited account, which wasn’t verified but bore Verizon’s logo and was named Verizon Unlimited, has since been suspended, as have other scam accounts. | O
Verizon has been warning customers about a variety of phishing email scams, providing a list of scam samples that goes back to 2014. | AttackPhishing
The most recent addition to that list was a phishing message dated this past Sunday. | O
Coming from an email account name of “Verizon Online”, the message told recipients that Verizon would be replacing its “Classic” version of email service with a new, updated version as of Monday. | AttackPhishing

